time,enrolled,available,waitlisted,total
2022-11-25T04:25:17,241,9,87,250
2022-11-25T04:35:47,241,9,87,250
2022-11-25T04:45:21,241,9,87,250
2022-11-25T04:54:39,241,9,87,250
2022-11-25T05:03:55,241,9,87,250
2022-11-25T05:13:10,241,9,87,250
2022-11-25T05:22:24,241,9,87,250
2022-11-25T05:31:39,241,9,87,250
2022-11-25T05:40:53,241,9,87,250
2022-11-25T05:50:09,241,9,87,250
2022-11-25T05:59:27,241,9,87,250
2022-11-25T06:08:47,241,9,87,250
2022-11-25T06:18:06,241,9,87,250
2022-11-25T06:27:24,241,9,87,250
2022-11-25T06:36:41,241,9,87,250
2022-11-25T06:45:58,241,9,87,250
2022-11-25T06:55:15,241,9,87,250
2022-11-25T07:04:31,241,9,87,250
2022-11-25T07:13:48,241,9,87,250
2022-11-25T07:23:05,241,9,87,250
2022-11-25T07:32:23,241,9,87,250
2022-11-25T07:41:41,241,9,87,250
2022-11-25T07:50:59,241,9,87,250
2022-11-25T08:00:17,241,9,87,250
2022-11-25T08:09:34,241,9,87,250
2022-11-25T08:18:51,241,9,87,250
2022-11-25T08:28:08,241,9,87,250
2022-11-25T08:37:26,241,9,87,250
2022-11-25T08:46:43,241,9,87,250
2022-11-25T08:55:59,241,9,87,250
2022-11-25T09:05:15,241,9,87,250
2022-11-25T09:14:31,241,9,87,250
2022-11-25T09:23:47,241,9,87,250
2022-11-25T09:33:03,241,9,87,250
2022-11-25T09:42:19,241,9,87,250
2022-11-25T09:51:35,241,9,87,250
2022-11-25T10:00:50,241,9,87,250
2022-11-25T10:10:06,241,9,87,250
2022-11-25T10:19:22,241,9,87,250
2022-11-25T10:28:38,241,9,87,250
2022-11-25T10:37:54,241,9,87,250
2022-11-25T10:47:09,241,9,87,250
2022-11-25T10:56:25,241,9,87,250
2022-11-25T11:05:41,241,9,87,250
2022-11-25T11:14:57,241,9,87,250
2022-11-25T11:24:12,241,9,87,250
2022-11-25T11:33:28,241,9,87,250
2022-11-25T11:42:44,241,9,87,250
2022-11-25T11:52:00,241,9,87,250
2022-11-25T12:01:17,241,9,87,250
